date,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755871200000,2.9051,3.0072,2.9051,3.0072,2461,1755871499999,8327.09982225,112,1839,6236.94328177,0
1755871500000,3.0085,3.0455,3.0039,3.0323,591,1755871799999,1955.22410371,25,285,941.43539198,0
1755871800000,3.0231,3.0675,3.0227,3.0675,305,1755872099999,998.65722974,19,286,935.80783674,0
1755872100000,3.0695,3.1119,3.0139,3.0455,4821,1755872399999,15718.10919559,134,2026,6570.37241412,0
1755872400000,3.0500,3.0675,3.0323,3.0509,2118,1755872699999,6954.76715480,56,729,2390.02058379,0
1755872700000,3.0588,3.0722,3.0588,3.0588,305,1755872999999,994.65516862,19,152,495.76803189,0
1755873000000,3.0690,3.0856,3.0690,3.0856,77,1755873299999,250.38211632,6,62,201.76920473,0
1755873300000,3.0883,3.0883,3.0722,3.0722,40,1755873599999,129.74286442,3,19,61.52252048,0
1755873600000,3.0856,3.0991,3.0856,3.0930,386,1755873899999,1247.71739663,19,159,513.72699801,0
1755873900000,3.0964,3.0991,3.0964,3.0991,67,1755874199999,216.33349914,4,67,216.33349914,0
1755874200000,3.1044,3.1054,3.1044,3.1054,21,1755874499999,67.63969811,2,21,67.63969811,0
1755874500000,3.0939,3.0939,3.0843,3.0876,133,1755874799999,430.53407754,10,72,233.02860831,0
1755874800000,3.0977,3.1021,3.0977,3.1018,72,1755875099999,232.20031002,4,21,67.78931631,0
1755875100000,3.1072,3.1086,3.0977,3.0977,132,1755875399999,424.90148583,9,29,93.32219418,0
1755875400000,3.1000,3.1064,3.1000,3.1030,74,1755875699999,238.43625818,4,64,206.20938096,0
1755875700000,3.0975,3.1072,3.0975,3.1071,15,1755875999999,48.28847112,4,14,45.06006111,0
1755876000000,3.1063,3.1065,3.1033,3.1033,36,1755876299999,115.99662055,6,5,16.10295897,0
1755876300000,3.0942,3.0951,3.0933,3.0942,8,1755876599999,25.85482601,8,0,0,0
1755876600000,3.0974,3.1080,3.0974,3.1080,55,1755876899999,177.31724035,4,55,177.31724035,0
1755876900000,3.1052,3.1126,3.1042,3.1126,18,1755877199999,57.93890809,7,12,38.61264282,0
1755877200000,3.1126,3.1167,3.1126,3.1164,74,1755877499999,237.50374533,9,74,237.50374533,0
1755877500000,3.1100,3.1100,3.1100,3.1100,1,1755877799999,3.21543408,1,0,0,0
1755877800000,3.1147,3.1147,3.1068,3.1068,176,1755878099999,565.22601485,5,0,0,0
1755878100000,3.1079,3.1079,3.0933,3.0933,39,1755878399999,125.88515699,14,8,25.78878657,0
1755878400000,3.0921,3.1216,3.0918,3.1216,51,1755878699999,163.93137661,13,46,147.76176368,0
1755878700000,3.1188,3.1422,3.1188,3.1416,282,1755878999999,900.32286190,17,157,502.14596011,0
1755879000000,3.1262,3.1296,3.1227,3.1254,1021,1755879299999,3264.21828488,22,441,1409.20459927,0
1755879300000,3.1228,3.1320,3.1195,3.1278,278,1755879599999,889.67704572,40,62,198.08484523,0
1755879600000,3.1266,3.1307,3.1231,3.1239,604,1755879899999,1932.23650751,59,61,194.96437638,0
1755879900000,3.1276,3.1308,3.1260,3.1305,266,1755880199999,850.31523608,19,68,217.29131254,0
1755880200000,3.1292,3.1398,3.1292,3.1398,42,1755880499999,133.94171449,4,41,130.74600952,0
1755880500000,3.1356,3.1356,3.1262,3.1283,129,1755880799999,412.11754889,18,29,92.70210658,0
1755880800000,3.1328,3.1357,3.1328,3.1357,50,1755881099999,159.45698150,4,50,159.45698150,0
1755881100000,3.1302,3.1304,3.1216,3.1221,783,1755881399999,2505.39085824,67,36,115.15732693,0
1755881400000,3.1250,3.1257,3.1212,3.1212,193,1755881699999,617.95253162,14,130,416.22484145,0
1755881700000,3.1212,3.1212,3.1212,3.1212,0,1755881999999,0,0,0,0,0
1755882000000,3.1356,3.1357,3.1349,3.1357,63,1755882299999,200.93740737,4,63,200.93740737,0
1755882300000,3.1398,3.1436,3.1398,3.1436,53,1755882599999,168.60623734,3,53,168.60623734,0
1755882600000,3.1430,3.1620,3.1426,3.1620,837,1755882899999,2656.03606092,32,696,2207.62385829,0
1755882900000,3.1645,3.1649,3.1547,3.1627,715,1755883199999,2263.39461011,26,252,797.02848083,0
1755883200000,3.1603,3.1626,3.1603,3.1608,53,1755883499999,167.62194808,5,53,167.62194808,0
1755883500000,3.1645,3.1704,3.1645,3.1704,204,1755883799999,644.28010627,11,204,644.28010627,0
